Soil Moisture,Temperature,Humidity,Time,Status
55,19,29,79,0
85,35,27,90,1
80,38,64,89,1
74,32,20,108,0
24,5,66,50,1
29,43,60,62,1
49,41,31,30,1
43,18,39,0,1
5,28,62,9,1
71,14,67,76,1
49,24,45,48,1
40,10,32,106,0
21,23,28,95,0
17,11,40,83,1
13,31,35,82,1
59,28,32,33,1
63,38,35,92,0
82,26,58,67,0
75,12,25,16,0
57,31,66,20,1
83,21,62,29,0
39,45,61,47,1
65,23,23,64,1
54,38,63,46,1
10,28,61,103,0
8,27,53,41,1
28,29,47,102,0
19,33,31,22,1
70,28,24,43,1
31,12,32,60,1
83,22,61,2,0
6,41,56,103,0
29,11,29,10,1
72,24,46,19,0
14,27,60,87,1
31,23,70,34,1
7,17,57,99,0
34,11,25,103,0
39,9,57,93,0
88,15,52,78,0
12,44,42,88,1
90,29,53,61,1
26,22,35,1,1
11,27,25,5,1
74,17,23,39,0
71,15,23,104,0
43,43,32,73,1
84,32,34,20,0
44,19,31,88,0
42,24,20,75,1
20,37,57,46,1
36,17,22,98,0
26,2,32,14,1
20,44,55,97,0
11,41,21,19,1
49,19,47,104,0
49,16,25,10,1
39,37,33,21,1
83,32,22,56,1
40,34,55,2,1
2,25,22,13,1
85,24,25,71,0
35,20,61,1,1
36,32,60,61,1
75,31,44,0,0
71,12,33,15,0
81,28,37,48,1
18,36,49,17,1
21,25,46,89,1
46,19,42,108,0
60,25,40,24,0
12,28,32,100,0
13,0,60,72,1
82,11,20,47,0
27,41,59,50,1
9,2,62,16,1
62,7,68,75,1
82,31,30,2,0
51,35,52,79,1
61,0,53,79,0
89,12,34,19,0
56,5,39,4,0
13,37,28,1,1
19,38,51,22,1
90,22,27,13,0
60,41,20,103,0
39,7,56,78,0
72,15,43,86,1
90,37,57,105,0
44,34,36,35,1
73,19,42,21,0
71,27,69,53,1
55,36,47,110,0
70,7,39,28,0
35,25,66,21,1
25,33,45,6,1
26,14,61,10,1
53,36,24,33,1
86,3,51,54,0
2,5,65,94,0
28,21,48,57,1
15,37,53,81,1
36,17,62,81,0
35,34,34,46,1
54,22,59,12,1
72,25,50,98,0
86,44,48,51,1
34,14,37,40,1
36,29,54,105,0
55,23,70,28,1
42,7,34,58,1
28,40,44,10,1
44,37,46,65,1
5,28,30,49,1
42,9,56,61,0
81,15,22,26,0
4,33,53,97,0
63,28,21,50,1
3,26,20,35,1
88,41,64,95,0
10,40,53,72,1
35,24,35,90,1
19,23,36,55,1
70,9,39,54,1
34,37,38,83,1
61,41,64,1,1
40,38,58,37,1
70,32,64,107,0
26,37,65,65,1
31,24,48,85,1
74,2,43,22,0
30,25,53,66,1
47,2,33,64,1
14,8,51,33,0
88,41,45,37,0
52,7,66,84,1
66,2,58,76,0
44,23,60,35,1
74,1,49,10,0
89,29,40,106,0
32,29,54,95,0
33,8,59,80,0
55,28,44,44,1
5,35,30,8,1
84,5,33,87,1
30,27,34,103,0
81,12,48,16,0
66,37,50,9,1
56,40,33,58,1
89,44,68,56,1
43,14,41,54,1
52,45,26,20,1
40,24,32,23,0
35,43,67,21,1
65,14,28,65,0
30,37,30,98,0
63,41,43,0,1
58,25,68,18,1
45,41,49,30,1
19,28,55,30,1
2,13,43,102,0
37,3,62,89,0
71,34,38,86,1
30,19,55,52,0
55,19,70,110,0
6,21,49,25,1
74,0,58,48,0
8,6,57,5,0
21,36,49,105,0
66,24,61,31,0
88,24,42,24,0
66,36,50,35,0
61,25,31,97,0
81,31,43,74,1
53,4,42,3,0
57,36,27,17,1
12,9,29,41,1
84,38,48,100,0
68,7,49,4,0
1,8,63,17,0
65,29,67,67,1
48,5,45,73,0
67,8,26,4,0
71,28,43,28,0
51,25,34,77,1
30,35,51,103,0
2,22,46,37,1
37,30,63,89,0
43,37,32,100,0
50,29,56,78,1
17,3,46,87,1
90,35,32,9,0
23,8,60,97,0
22,9,69,27,1
37,34,66,84,1
37,2,56,11,1
89,25,42,4,0
38,41,37,36,1
88,21,29,29,0
12,28,37,62,1
48,20,49,55,1
87,0,44,64,0
80,11,22,20,0
62,29,68,31,0
46,22,42,80,1
88,9,57,1,0
22,11,38,37,1
19,27,63,96,0
33,20,39,77,1
68,40,60,77,1
49,44,50,43,1
6,38,25,70,1
10,23,63,18,1
8,1,26,66,1
20,44,24,29,1
39,31,20,49,1
28,41,55,6,1
58,17,61,33,1
47,1,36,94,0
90,17,31,53,0
3,2,39,58,1
88,41,30,75,1
85,6,53,36,0
75,27,56,63,1
38,3,30,56,0
49,3,43,37,1
68,35,69,39,0
69,21,55,4,1
51,43,50,69,1
48,18,23,93,0
53,2,29,96,0
22,13,43,66,1
15,9,69,21,1
41,32,64,17,1
79,31,20,28,0
33,24,58,49,0
50,31,68,78,1
30,27,27,85,1
46,40,63,62,1
71,5,20,69,0
78,45,29,4,0
73,19,49,81,1
14,4,50,104,0
59,20,51,30,1
15,38,58,70,1
81,21,60,29,0
54,42,63,42,1
60,34,33,54,1
42,1,29,54,0
49,10,35,98,0
55,27,24,9,1
43,27,36,55,1
48,16,42,57,1
35,32,50,28,1
76,17,35,22,0
20,37,47,9,1
5,20,48,48,1
48,4,60,97,0
53,27,23,0,1
18,11,58,56,1
71,24,25,35,0
7,2,62,0,0
89,22,34,13,0
85,11,23,52,0
71,41,68,3,0
85,26,30,9,0
2,37,55,98,0
29,36,52,77,1
60,18,48,14,0
46,21,23,38,1
89,10,51,77,0
76,20,49,2,0
72,36,23,59,1
18,15,29,24,1
29,9,47,17,0
56,20,45,62,1
59,39,34,85,1
45,42,65,51,1
31,2,64,40,1
2,2,28,51,1
74,9,24,9,0
48,3,64,4,0
1,38,62,100,0
43,9,53,30,0
28,0,42,6,0
30,14,65,24,1
20,7,37,104,0
14,40,69,36,1
86,22,56,38,0
47,40,69,9,1
28,44,45,50,1
27,27,57,5,1
84,44,32,41,1
32,37,46,51,1
56,27,59,65,1
53,4,32,29,1
79,23,67,88,1
37,45,63,20,1
23,29,23,6,1
25,4,23,10,1
43,39,46,92,0
43,33,51,69,1
44,10,69,77,1
69,37,47,5,1
30,15,43,50,1
71,21,36,76,1
59,15,43,89,1
54,28,50,65,1
66,20,34,47,1
76,6,53,87,0
13,32,40,6,1
55,2,50,88,0
45,19,68,13,1
60,19,34,2,1
10,38,28,34,1
39,24,27,92,0
67,34,39,16,0
67,31,26,25,0
9,0,49,30,0
74,0,64,92,0
43,45,35,29,1
5,35,56,55,1
60,42,46,98,0
22,28,25,35,1
78,1,70,45,0
15,19,30,52,1
63,38,48,17,0
64,15,65,24,0
79,33,45,82,1
59,33,52,47,1
31,44,21,9,1
17,0,49,24,0
87,0,69,3,0
89,42,32,42,1
66,4,25,33,0
56,24,40,48,1
14,1,57,63,1
19,31,63,24,1
3,37,29,29,1
71,31,68,54,1
74,16,37,50,1
21,35,57,80,1
87,10,43,13,0
22,22,59,96,0
86,11,30,78,0
3,24,68,95,0
31,16,69,3,1
16,32,62,87,1
87,4,28,40,0
4,12,44,10,1
54,30,67,49,1
11,39,62,27,1
41,21,23,58,0
89,27,20,34,0
2,35,23,8,1
76,42,39,86,1
29,6,60,52,0
9,32,29,96,0
67,27,52,110,0
78,9,68,48,1
12,10,34,100,0
22,42,35,63,1
40,5,65,32,1
85,24,42,99,0
54,18,29,9,1
76,37,28,63,1
30,9,49,7,0
28,14,70,12,1
33,6,31,33,1
47,36,39,53,1
27,42,27,68,1
73,8,49,17,0
7,44,69,93,0
49,18,56,86,0
83,20,51,2,0
8,5,40,41,1
85,44,31,47,1
36,25,36,44,1
18,38,31,52,1
66,3,69,31,0
89,23,58,23,0
48,33,51,51,1
57,10,37,78,1
1,11,62,7,1
53,23,56,56,0
37,21,34,20,1
65,6,25,98,0
35,9,41,15,0
23,38,21,61,1
69,15,63,81,0
45,3,41,74,0
7,45,25,34,1
21,42,28,6,1
36,6,41,25,1
64,5,35,103,0
8,7,35,24,1
59,30,41,55,1
8,14,43,60,1
19,42,40,7,1
63,8,39,106,0
64,40,59,60,1
81,39,60,38,0
3,39,20,43,1
56,37,37,17,1
41,31,39,34,1
44,11,26,40,0
29,38,40,20,1
43,6,51,26,1
5,30,63,31,1
2,41,38,80,1
64,5,68,80,1
45,40,31,100,0
68,45,49,1,1
36,20,56,28,1
78,32,28,51,1
53,5,54,27,1
53,34,35,87,1
17,25,44,81,1
32,36,58,105,0
39,26,59,93,0
18,35,43,15,1
66,9,63,30,0
64,9,45,11,0
67,11,32,17,0
15,20,22,20,1
19,11,46,12,1
89,34,64,16,0
64,33,63,67,1
42,32,70,34,1
68,13,47,16,0
74,45,35,13,0
76,20,35,32,0
19,32,48,75,1
16,19,20,108,0
41,10,22,47,0
90,13,66,95,0
3,27,55,4,1
17,45,61,43,1
89,31,29,71,1
8,8,61,108,0
5,38,47,40,1
10,1,30,89,1
77,13,34,110,0
12,45,21,8,1
83,30,59,86,1
7,8,35,59,1
57,9,33,52,1
19,41,34,80,1
80,18,39,93,0
77,8,28,89,0
36,35,31,28,1
32,44,68,71,1
60,5,28,34,0
6,10,21,2,0
42,36,56,17,1
90,31,62,7,0
65,42,32,91,0
52,34,51,49,1
71,19,20,2,0
32,39,35,22,1
73,40,37,19,0
77,2,46,75,0
8,18,33,11,1
61,12,63,9,1
71,15,26,91,0
87,41,33,47,1
70,33,26,64,1
36,35,56,49,1
15,10,36,19,1
78,2,24,21,0
46,34,52,19,1
41,30,21,6,1
81,44,56,8,0
1,44,34,52,1
83,28,67,34,0
40,40,53,52,1
75,39,38,40,1
35,15,64,87,1
51,3,50,42,0
69,35,32,46,1
87,10,55,97,0
89,10,57,94,0
31,0,27,14,0
66,15,47,11,0
48,16,22,20,1
79,10,26,29,0
9,19,50,79,1
52,33,64,14,1
87,35,39,65,1
1,24,50,11,0
48,44,32,10,1
90,37,29,10,0
7,17,63,75,1
59,26,27,64,0
7,3,41,26,1
57,32,43,24,0
51,2,35,12,0
19,34,26,103,0
84,35,49,9,0
68,0,38,88,0
44,3,44,86,0
25,18,45,50,1
37,22,48,6,1
66,41,20,64,1
80,20,42,1,0
9,15,43,79,1
66,12,31,18,0
82,40,70,76,1
36,1,46,108,0
55,31,63,107,0
82,21,61,101,0
55,45,50,76,1
32,28,46,24,1
90,14,28,89,0
65,21,24,35,0
71,43,53,92,0
3,25,63,1,1
24,36,67,61,1
15,16,63,59,1
77,28,33,66,1
82,38,49,13,0
1,36,51,52,1
51,41,50,88,1
10,39,66,63,1
89,28,35,93,0
54,24,52,5,1
70,17,25,53,0
71,38,44,36,0
59,34,48,28,1
71,41,51,101,0
10,24,21,53,1
65,8,30,101,0
68,7,70,18,0
54,40,64,109,0
49,26,41,2,1
54,18,22,64,0
12,25,61,24,0
30,18,53,71,0
50,15,65,92,0
7,41,66,61,1
16,33,59,85,1
73,22,51,6,0
77,38,45,19,0
7,45,66,52,1
52,36,26,52,1
57,26,50,20,1
9,45,28,14,1
63,45,63,8,1
1,31,54,107,0
9,30,35,10,1
17,29,64,58,1
44,28,56,109,0
89,38,52,4,0
64,16,41,51,1
14,12,36,10,1
13,14,21,53,1
52,31,52,0,1
57,18,31,82,0
7,39,60,63,1
39,21,49,21,1
78,35,21,12,0
47,20,41,31,1
62,22,33,69,1
13,28,31,56,1
80,35,61,58,1
32,16,28,3,1
90,17,38,49,1
75,24,21,19,0
10,14,39,100,0
55,13,44,88,1
73,0,23,45,0
29,43,22,34,1
24,22,40,41,1
30,26,67,22,1
19,28,34,32,1
29,21,48,66,1
42,44,22,29,1
31,6,43,42,0
48,42,45,91,0
62,43,26,103,0
12,13,63,106,0
85,27,40,7,0
9,18,23,3,1
45,45,28,63,1
86,11,40,98,0
47,16,67,3,1
45,9,50,84,0
60,21,38,33,0
77,12,62,78,0
56,15,60,16,1
8,37,20,54,1
8,23,26,1,1
35,32,22,84,1
6,36,55,53,1
72,27,66,39,0
8,43,51,76,1
76,18,26,53,0
34,8,29,8,0
63,43,22,3,1
14,3,65,10,1
74,9,35,47,1
41,6,26,11,1
90,22,53,93,0
44,6,28,107,0
12,33,27,55,1
13,18,53,61,1
21,29,67,40,1
69,27,69,44,1
60,33,49,49,1
84,16,42,74,1
21,45,33,40,1
62,34,21,39,0
67,19,21,66,0
69,36,42,109,0
55,9,54,66,0
78,37,60,34,0
30,37,49,37,1
67,43,68,91,0
58,40,44,108,0
66,24,34,0,1
70,31,64,10,0
2,9,29,106,0
20,12,29,109,0
79,4,69,30,0
80,37,54,82,1
72,5,27,10,0
60,34,42,33,0
16,6,26,6,0
9,29,56,2,1
39,22,22,0,1
83,45,50,50,1
39,13,69,64,1
55,30,63,47,0
24,43,35,10,1
69,2,35,104,0
62,45,62,44,1
18,16,21,110,0
35,17,29,2,1
59,16,51,62,0
30,33,61,47,1
37,8,55,106,0
51,14,47,8,1
42,36,56,6,1
57,38,45,28,1
61,18,31,24,0
68,3,59,0,0
21,13,68,25,1
43,16,35,62,1
6,5,54,65,1
66,6,27,59,0
87,23,25,78,0
18,39,34,92,0
67,28,40,107,0
79,2,49,101,0
42,38,24,77,1
11,12,53,87,1
9,44,70,53,1
21,18,26,49,0
57,7,32,81,1
52,36,55,71,1
89,28,65,60,1
1,22,58,5,1
77,13,49,109,0
85,19,42,35,0
38,32,28,73,1
9,0,21,24,0
10,0,43,94,0
27,17,57,105,0
31,5,41,31,1
24,17,70,25,1
6,33,64,48,1
67,29,23,45,1
46,44,37,45,1
3,25,48,83,1
12,35,29,48,1
73,21,26,61,0
74,32,47,25,0
72,37,69,1,0
87,13,64,2,0
1,26,29,63,1
69,14,39,110,0
29,32,30,101,0
25,3,41,1,0
86,7,50,26,0
44,25,69,109,0
20,6,26,86,1
70,20,52,11,0
38,29,22,3,1
81,7,66,107,0
45,10,37,11,1
35,23,39,17,1
73,8,20,75,0
85,16,56,40,0
33,42,70,22,1
52,35,65,61,1
26,36,25,9,1
41,1,34,21,0
83,39,30,47,1
13,6,45,33,1
52,24,47,59,1
37,0,34,43,0
75,17,58,6,0
72,36,31,40,1
46,2,48,11,1
66,41,53,66,1
39,32,39,91,0
57,8,40,63,0
31,4,57,108,0
72,28,44,37,0
36,43,27,64,1
73,34,59,56,1
5,37,69,53,1
9,30,49,98,0
29,23,26,27,1
45,34,37,46,1
48,17,55,73,0
14,27,53,95,0
7,6,56,98,0
13,29,65,57,1
70,27,31,17,0
35,4,33,14,1
86,31,47,94,0
13,7,60,96,0
8,16,32,44,1
42,7,69,10,1
69,30,49,6,1
20,26,42,48,1
52,3,45,54,0
71,41,28,82,1
63,14,25,36,0
4,20,69,82,1
60,26,29,23,0
54,27,48,86,1
83,15,22,70,0
27,6,20,66,0
35,17,70,61,1
37,44,42,84,1
12,37,35,82,1
24,16,58,47,0
55,30,57,102,0
21,0,49,67,0
28,18,61,34,1
12,42,29,18,1
70,7,21,95,0
10,12,54,20,1
32,9,24,35,1
36,28,26,50,1
36,14,59,9,1
40,12,32,8,1
81,38,20,60,1
60,15,22,21,0
63,36,60,27,0
52,13,62,9,1
12,8,27,94,0
31,0,67,61,0
70,30,70,71,1
77,31,35,36,0
65,18,62,86,0
42,14,23,36,1
79,43,39,16,0
84,6,59,36,0
52,21,38,58,1
58,12,67,35,1
65,34,69,41,1
49,25,66,89,1
32,39,68,0,1
1,11,67,3,1
4,11,38,87,1
30,45,60,40,1
67,43,21,37,0
89,19,49,77,1
63,28,44,49,1
24,33,20,104,0
70,6,52,10,0
37,23,37,91,0
45,30,52,46,1
65,34,44,97,0
1,44,37,55,1
88,22,69,72,1
63,37,28,83,1
9,23,46,73,1
56,33,40,24,0
20,5,61,39,1
14,11,66,6,1
80,31,30,41,1
72,44,23,73,1
86,25,48,106,0
29,38,47,108,0
61,11,43,16,0
70,18,31,103,0
24,3,54,46,0
8,11,69,44,1
63,21,29,51,0
63,7,60,110,0
21,36,25,110,0
70,19,64,10,0
46,42,29,93,0
63,34,52,77,1
66,32,67,91,0
90,42,51,57,1
44,33,30,110,0
73,4,58,100,0
7,35,60,61,1
4,23,67,58,1
59,28,70,9,1
58,14,51,69,0
1,10,66,60,1
5,36,28,26,1
87,2,47,98,0
34,24,48,110,0
27,0,32,54,0
41,39,28,70,1
39,23,22,40,1
4,45,21,40,1
3,5,21,62,1
35,13,26,73,0
82,12,67,19,0
90,33,34,9,0
5,31,61,76,1
90,40,62,87,1
42,15,21,74,0
54,14,40,52,1
41,17,20,34,1
46,43,31,11,1
68,11,52,29,0
57,10,49,5,0
21,8,53,29,0
49,4,44,62,0
16,9,44,26,0
64,14,37,41,1
32,34,27,70,1
28,5,48,30,1
45,27,29,94,0
14,45,34,108,0
35,25,23,67,1
1,27,41,103,0
90,13,53,25,0
69,25,52,29,0
86,42,24,79,1
60,35,44,101,0
4,15,56,98,0
41,3,28,24,1
72,43,51,89,1
50,32,57,110,0
40,8,42,106,0
45,19,42,13,1
17,11,26,78,1
26,4,41,60,0
84,31,50,106,0
86,19,70,34,0
19,27,41,43,1
58,3,69,16,1
60,35,21,57,1
25,34,49,40,1
8,26,57,6,1
90,44,69,19,0
86,15,59,98,0
26,10,25,54,0
